Date,Observer,Time,Subject,Unit,Sex,Status,State,Social,Recipient
1/3/11,DAVID,9:33:05 AM,DIK,K,M,BACHELOR,START,,
1/3/11,DAVID,9:33:08 AM,DIK,K,M,BACHELOR,S,,
1/3/11,DAVID,9:33:16 AM,DIK,K,M,BACHELOR,,G2,DRA
1/3/11,DAVID,9:34:19 AM,DIK,K,M,BACHELOR,,G1,DRA
1/3/11,DAVID,9:34:54 AM,DIK,K,M,BACHELOR,,GZ,DRA
1/3/11,DAVID,9:35:01 AM,DIK,K,M,BACHELOR,,W2G1,DRA
1/3/11,DAVID,9:35:33 AM,DIK,K,M,BACHELOR,,GZ,DRA
1/3/11,DAVID,9:35:39 AM,DIK,K,M,BACHELOR,,W1G2,DRA
1/3/11,DAVID,9:37:26 AM,DIK,K,M,BACHELOR,,G3,DRA
1/3/11,DAVID,9:38:36 AM,DIK,K,M,BACHELOR,NB,,
1/3/11,DAVID,9:38:40 AM,DIK,K,M,BACHELOR,,G1,DRA
1/3/11,DAVID,9:39:04 AM,DIK,K,M,BACHELOR,,GZ,DRA
1/3/11,DAVID,9:39:16 AM,DIK,K,M,BACHELOR,,W1VM1G2,DRA
1/3/11,DAVID,9:40:45 AM,DIK,K,M,BACHELOR,,GZ,DRA
1/3/11,DAVID,9:40:49 AM,DIK,K,M,BACHELOR,,W2G1,DRA
1/3/11,DAVID,9:40:57 AM,DIK,K,M,BACHELOR,,G2,DRA
1/3/11,DAVID,9:42:16 AM,DIK,K,M,BACHELOR,,GZ,DRA
1/3/11,DAVID,9:42:20 AM,DIK,K,M,BACHELOR,,W2G1,DRA
1/3/11,DAVID,9:42:37 AM,DIK,K,M,BACHELOR,,GZ,DRA
1/3/11,DAVID,9:42:47 AM,DIK,K,M,BACHELOR,,W2X1L2,DRA
1/3/11,DAVID,9:42:48 AM,DIK,K,M,BACHELOR,M,,
1/3/11,DAVID,9:43:37 AM,DIK,K,M,BACHELOR,NB,,
1/3/11,DAVID,9:43:40 AM,DIK,K,M,BACHELOR,S,,
1/3/11,DAVID,9:43:46 AM,DIK,K,M,BACHELOR,,G2,DRA
1/3/11,DAVID,9:43:52 AM,DIK,K,M,BACHELOR,,GZ,DRA
1/3/11,DAVID,9:43:54 AM,DIK,K,M,BACHELOR,R,,
1/3/11,DAVID,9:46:04 AM,DIK,K,M,BACHELOR,,Y1,
1/3/11,DAVID,9:46:10 AM,DIK,K,M,BACHELOR,,L@U,
1/3/11,DAVID,9:46:16 AM,DIK,K,M,BACHELOR,,U1,
1/3/11,DAVID,9:46:35 AM,DIK,K,M,BACHELOR,,VG1VG2VY1,DRA
1/3/11,DAVID,9:48:41 AM,DIK,K,M,BACHELOR,NB,,
1/3/11,DAVID,9:48:42 AM,DIK,K,M,BACHELOR,END,,
1/3/11,DAVID,9:50:02 AM,QUA,K,M,BACHELOR,START,,
1/3/11,DAVID,9:50:03 AM,QUA,K,M,BACHELOR,R,,
1/3/11,DAVID,9:55:23 AM,QUA,K,M,BACHELOR,NB,,
1/3/11,DAVID,9:55:46 AM,QUA,K,M,BACHELOR,,L2,SAM
1/3/11,DAVID,10:00:16 AM,QUA,K,M,BACHELOR,NB,,
1/3/11,DAVID,10:05:11 AM,QUA,K,M,BACHELOR,NB,,
1/3/11,DAVID,10:05:14 AM,QUA,K,M,BACHELOR,END,,
1/3/11,DAVID,10:06:00 AM,DRA,K,M,BACHELOR,START,,
1/3/11,DAVID,10:06:02 AM,DRA,K,M,BACHELOR,R,,
1/3/11,DAVID,10:12:05 AM,DRA,K,M,BACHELOR,NB,,
1/3/11,DAVID,10:13:27 AM,DRA,K,M,BACHELOR,,U1,
1/3/11,DAVID,10:13:40 AM,DRA,K,M,BACHELOR,,U1,
1/3/11,DAVID,10:14:01 AM,DRA,K,M,BACHELOR,,VY2VG1,DIK
1/3/11,DAVID,10:15:28 AM,DRA,K,M,BACHELOR,,L2,DIK
1/3/11,DAVID,10:16:42 AM,DRA,K,M,BACHELOR,NB,,
1/3/11,DAVID,10:16:43 AM,DRA,K,M,BACHELOR,M,,
1/3/11,DAVID,10:16:52 AM,DRA,K,M,BACHELOR,,A1G1,SAM
1/3/11,DAVID,10:16:53 AM,DRA,K,M,BACHELOR,S,,
1/3/11,DAVID,10:17:49 AM,DRA,K,M,BACHELOR,,VG2,SAM
1/3/11,DAVID,10:18:55 AM,DRA,K,M,BACHELOR,,G3,SAM
1/3/11,DAVID,10:19:47 AM,DRA,K,M,BACHELOR,,G2VG1VM1VG2VIVM1,SAM
1/3/11,DAVID,10:20:14 AM,DRA,K,M,BACHELOR,,GZ,SAM
1/3/11,DAVID,10:20:17 AM,DRA,K,M,BACHELOR,F,,
1/3/11,DAVID,10:21:23 AM,DRA,K,M,BACHELOR,NB,,
1/3/11,DAVID,10:21:24 AM,DRA,K,M,BACHELOR,END,,
1/3/11,DAVID,10:21:59 AM,MEA,K,M,BACHELOR,START,,
1/3/11,DAVID,10:22:01 AM,MEA,K,M,BACHELOR,R,,
1/3/11,DAVID,10:22:08 AM,MEA,K,M,BACHELOR,M,,
1/3/11,DAVID,10:22:34 AM,MEA,K,M,BACHELOR,,A1M1G2VY1,SAM
1/3/11,DAVID,10:22:36 AM,MEA,K,M,BACHELOR,S,,
1/3/11,DAVID,10:23:45 AM,MEA,K,M,BACHELOR,,G1VG2VG1,SAM
1/3/11,DAVID,10:25:38 AM,MEA,K,M,BACHELOR,,GZ,SAM
1/3/11,DAVID,10:25:42 AM,MEA,K,M,BACHELOR,,G2,SAM
1/3/11,DAVID,10:25:50 AM,MEA,K,M,BACHELOR,,G3,SAM
1/3/11,DAVID,10:26:18 AM,MEA,K,M,BACHELOR,,G2,SAM
1/3/11,DAVID,10:27:37 AM,MEA,K,M,BACHELOR,NB,,
1/3/11,DAVID,10:27:40 AM,MEA,K,M,BACHELOR,,G1,SAM
1/3/11,DAVID,10:28:55 AM,MEA,K,M,BACHELOR,,GZ,SAM
1/3/11,DAVID,10:28:55 AM,MEA,K,M,BACHELOR,F,,
1/3/11,DAVID,10:31:53 AM,MEA,K,M,BACHELOR,,L2,SAM
1/3/11,DAVID,10:32:14 AM,MEA,K,M,BACHELOR,NB,,
1/3/11,DAVID,10:33:29 AM,MEA,K,M,BACHELOR,,VG2VG1,DIK
1/3/11,DAVID,10:35:10 AM,MEA,K,M,BACHELOR,M,,
1/3/11,DAVID,10:35:18 AM,MEA,K,M,BACHELOR,F,,
1/3/11,DAVID,10:35:34 AM,MEA,K,M,BACHELOR,R,,
1/3/11,DAVID,10:36:13 AM,MEA,K,M,BACHELOR,M,,
1/3/11,DAVID,10:36:17 AM,MEA,K,M,BACHELOR,M,,
1/3/11,DAVID,10:36:18 AM,MEA,K,M,BACHELOR,F,,
1/3/11,DAVID,10:36:31 AM,MEA,K,M,BACHELOR,R,,
1/3/11,DAVID,10:37:16 AM,MEA,K,M,BACHELOR,NB,,
1/3/11,DAVID,10:37:18 AM,MEA,K,M,BACHELOR,END,,
1/3/11,DAVID,11:02:16 AM,IGO,K,M,BACHELOR,START,,
1/3/11,DAVID,11:02:18 AM,IGO,K,M,BACHELOR,M,,
1/3/11,DAVID,11:02:44 AM,IGO,K,M,BACHELOR,F,,
1/3/11,DAVID,11:03:48 AM,IGO,K,M,BACHELOR,,K1G2,DRA
1/3/11,DAVID,11:03:49 AM,IGO,K,M,BACHELOR,S,,
1/3/11,DAVID,11:04:11 AM,IGO,K,M,BACHELOR,,K2VG1,DRA
1/3/11,DAVID,11:04:47 AM,IGO,K,M,BACHELOR,,GZL2,DRA
1/3/11,DAVID,11:04:49 AM,IGO,K,M,BACHELOR,F,,
1/3/11,DAVID,11:05:01 AM,IGO,K,M,BACHELOR,M,,
1/3/11,DAVID,11:05:21 AM,IGO,K,M,BACHELOR,F,,
1/3/11,DAVID,11:05:28 AM,IGO,K,M,BACHELOR,M,,
1/3/11,DAVID,11:05:31 AM,IGO,K,M,BACHELOR,F,,
1/3/11,DAVID,11:05:53 AM,IGO,K,M,BACHELOR,M,,
1/3/11,DAVID,11:06:12 AM,IGO,K,M,BACHELOR,F,,
1/3/11,DAVID,11:06:24 AM,IGO,K,M,BACHELOR,R,,
1/3/11,DAVID,11:06:25 AM,IGO,K,M,BACHELOR,M,,
1/3/11,DAVID,11:06:47 AM,IGO,K,M,BACHELOR,F,,
1/3/11,DAVID,11:07:05 AM,IGO,K,M,BACHELOR,M,,
1/3/11,DAVID,11:07:10 AM,IGO,K,M,BACHELOR,F,,
1/3/11,DAVID,11:07:46 AM,IGO,K,M,BACHELOR,NB,,
1/3/11,DAVID,11:07:48 AM,IGO,K,M,BACHELOR,M,,
1/3/11,DAVID,11:09:29 AM,IGO,K,M,BACHELOR,F,,
1/3/11,DAVID,11:10:18 AM,IGO,K,M,BACHELOR,,VG1,
1/3/11,DAVID,11:10:24 AM,IGO,K,M,BACHELOR,M,,
1/3/11,DAVID,11:10:34 AM,IGO,K,M,BACHELOR,F,,
1/3/11,DAVID,11:10:57 AM,IGO,K,M,BACHELOR,,VT1,SAM
1/3/11,DAVID,11:11:17 AM,IGO,K,M,BACHELOR,M,,
1/3/11,DAVID,11:11:26 AM,IGO,K,M,BACHELOR,F,,
1/3/11,DAVID,11:11:39 AM,IGO,K,M,BACHELOR,,VT1,OUF
1/3/11,DAVID,11:11:41 AM,IGO,K,M,BACHELOR,M,,
1/3/11,DAVID,11:11:42 AM,IGO,K,M,BACHELOR,F,,
1/3/11,DAVID,11:12:25 AM,IGO,K,M,BACHELOR,,VT1,SAM
1/3/11,DAVID,11:12:40 AM,IGO,K,M,BACHELOR,NB,,
1/3/11,DAVID,11:13:31 AM,IGO,K,M,BACHELOR,M,,
1/3/11,DAVID,11:13:33 AM,IGO,K,M,BACHELOR,F,,
1/3/11,DAVID,11:13:41 AM,IGO,K,M,BACHELOR,,A1,DRA
1/3/11,DAVID,11:13:51 AM,IGO,K,M,BACHELOR,,L1,DRA
1/3/11,DAVID,11:13:51 AM,IGO,K,M,BACHELOR,M,,
1/3/11,DAVID,11:14:01 AM,IGO,K,M,BACHELOR,F,,
1/3/11,DAVID,11:17:39 AM,IGO,K,M,BACHELOR,NB,,
1/3/11,DAVID,11:17:40 AM,IGO,K,M,BACHELOR,END,,
1/4/11,DAVID,10:28:28 AM,DYE,K,M,BACHELOR,START,,
1/4/11,DAVID,10:28:32 AM,DYE,K,M,BACHELOR,S,,
1/4/11,DAVID,10:28:38 AM,DYE,K,M,BACHELOR,,G1,MAY
1/4/11,DAVID,10:29:55 AM,DYE,K,M,BACHELOR,,GZ,MAY
1/4/11,DAVID,10:30:05 AM,DYE,K,M,BACHELOR,,VG1VG2G2VY1,MAY
1/4/11,DAVID,10:30:15 AM,DYE,K,M,BACHELOR,,K2,MAY
