"","Subject","New.Name","amg.name","New.DOB","age.yrs","focal.hrs"
"1","AHA","AHAB","","2000-07-03",10.5890410958904,0.5
"2","ASH","ASHKOKO","AMG9","2001-04-01",9.84383561643836,12.25
"3","ASL","ASLAN","AMG6","1999-02-18",11.9616438356164,23.5
"4","ATE","ATERE","AMG2","2002-03-24",8.86575342465753,8.25
"5","ATT","ATTILA","AMG3","2001-03-25",9.86301369863014,4.5
"6","BAI","BAIN","AMG11","2002-03-10",8.9041095890411,1.5
"7","BUS","BUSHBUCK","AMG9","2001-04-01",9.84383561643836,7.5
"8","COM","COMISA","","2001-04-01",9.84383561643836,0.5
"9","DGU","DGURE","AMG2","2000-08-18",10.4630136986301,10.25
"10","DIK","DIKOS","AMG7","2002-07-29",8.51780821917808,5.5
"11","DRA","DRACULA","AMG7","2002-09-22",8.36712328767123,27.75
"12","DRS","DRSTRANGE","AMG11","2002-06-29",8.6,0.75
"13","DUM","DUMBASS","AMG4","2000-05-31",10.6794520547945,10.25
"14","DYE","DYEK","AMG6","2001-02-16",9.96438356164384,19.25
"15","EAG","EAGLE","AMG6","2002-08-18",8.46301369863014,13.25
"16","EDG","EDGE","AMG6","2001-08-18",9.46301369863014,9
"17","EGG","EGG","AMG6","2002-05-18",8.71506849315069,23.5
"18","ELA","ELAND","AMG9","2004-02-01",7.00547945205479,10.25
"19","ERG","ERGO","AMG6","2002-05-18",8.71506849315069,15.25
"20","FUL","FULBRIGHT","AMG4","2002-06-29",8.6,3.75
"21","GHE","GHENGIS","AMG3","2002-03-25",8.86301369863014,5.5
"22","HAS","HASEK","AMG8","2003-05-30",7.68219178082192,5.25
"23","HEX","HEXTALL","AMG8","2002-02-28",8.93150684931507,8.25
"24","HOO","HOOVER","AMG7","2001-11-01",9.25753424657534,2.5
"25","IGO","IGOR","AMG7","2002-09-30",8.34520547945205,15.5
"26","ISH","ISHMAEL","","2000-11-14",10.2219178082192,0.75
"27","JEB","JEBARA","","2003-03-01",7.92876712328767,0.25
"28","JEF","JEFFERSON","AMG1","2001-04-07",9.82739726027397,1.75
"29","KAG","KAGE","","2004-02-01",7.00547945205479,0.25
"30","KET","KETCHUP","AMG5","2002-12-28",8.1013698630137,6.75
"31","KHA","KHAN","AMG3","2001-09-24",9.36164383561644,3.5
"32","KRI","KRISS","AMG4","2001-08-02",9.50684931506849,1.75
"33","KRO","KROSS","AMG4","2001-10-04",9.33424657534247,11.25
"34","LES","LESSER KUDU","AMG9","2003-03-01",7.92876712328767,7
"35","MAY","MAYLET","AMG6","2000-11-17",10.213698630137,18.5
"36","MEA","MEAN GUY","AMG7","2002-09-29",8.34794520547945,27.75
"37","MOB","MOBY DICK","AMG7","1999-12-14",11.1424657534247,2.75
"38","MRF","MRFREEZE","AMG11","2003-06-09",7.65479452054795,2.75
"39","MUM","MUMMY","AMG7","2004-06-28",6.6,11.5
"40","MUS","MUSTARD","AMG5","2002-03-30",8.84931506849315,3.75
"41","MUT","MUTT","","2001-04-01",9.84383561643836,0.5
"42","NSF","NSF","AMG4","2002-03-30",8.84931506849315,2.5
"43","NYA","NYALA","AMG9","2003-03-01",7.92876712328767,11.75
"44","ONE","ONEEYE WILY","AMG3","2001-11-02",9.25479452054794,2.5
"45","ONI","ONION","AMG5","2003-04-02",7.84109589041096,4.25
"46","OUP","OUPA","AMG2","2001-09-03",9.41917808219178,12
"47","OUZ","OUZO","AMG2","2002-12-23",8.11506849315069,16.5
"48","PAS","PASSPORT","AMG10","2001-10-22",9.28493150684931,6
"49","POP","POPEYE","AMG4","2002-12-28",8.1013698630137,0.75
"50","QUA","QUASI","AMG7","2002-03-23",8.86849315068493,5.75
"51","RAN","RANFORD","AMG8","2002-02-28",8.93150684931507,5
"52","RAZ","RAZALGHUL","AMG11","2003-09-08",7.40547945205479,2.75
"53","REL","RELISH","AMG5","2003-06-29",7.6,5.75
"54","RHI","RHINO","AMG2","2002-04-19",8.79452054794521,3.5
"55","RID","RIDDLER","AMG11","2003-06-09",7.65479452054795,2
"56","RUM","RUM","AMG2","1999-03-25",11.8657534246575,0.5
"57","SAU","SAUERKRAUT","AMG5","2002-06-29",8.6,2.75
"58","SCA","SCARECROW","AMG11","2003-06-09",7.65479452054795,1
"59","SEK","SEKARAM","","2004-01-01",7.09041095890411,0.25
"60","SHO","SHORTBUS","AMG4","2002-11-02",8.25479452054794,8.5
"61","SMA","SMARTASS","AMG4","2003-05-03",7.75616438356164,8.25
"62","SYR","SYRINGE","AMG2","2001-02-16",9.96438356164384,0.75
"63","TEQ","TEQUILA","AMG2","2001-03-24",9.86575342465753,4.25
"64","VOD","VODKA","AMG2","2003-03-24",7.86575342465753,16.75
"65","WHI","WHISKEY","AMG2","1998-09-24",12.3643835616438,2.75
"66","WOL","WOLFMAN","AMG7","2004-06-28",6.6,12.25
"67","YOD","YODA","","2000-01-29",11.0164383561644,1.5
"68","ZET","ZETENA","AMG5","1998-04-12",12.8164383561644,4.25
