"","combo","Wang","ID1","ID2","age1","amg1","age2","amg2","same.amg.yn","age.dif","same.age.yn"
"1","GHERAN",-0.4933,"GHE","RAN",8.86301369863014,"AMG3",8.93150684931507,"AMG8","Between All-Male Groups",0.0684931506849296,"Same Age Class"
"2","GHERAN",-0.4933,"GHE","RAN",8.86301369863014,"AMG3",8.93150684931507,"AMG8","Between All-Male Groups",0.0684931506849296,"Same Age Class"
"3","EAGRAN",-0.4827,"EAG","RAN",8.46301369863014,"AMG6",8.93150684931507,"AMG8","Between All-Male Groups",0.46849315068493,"Same Age Class"
"4","EAGRAN",-0.4827,"EAG","RAN",8.46301369863014,"AMG6",8.93150684931507,"AMG8","Between All-Male Groups",0.46849315068493,"Same Age Class"
"5","DUMKHA",-0.4683,"DUM","KHA",10.6794520547945,"AMG4",9.36164383561644,"AMG3","Between All-Male Groups",1.31780821917806,"Same Age Class"
"6","DUMKHA",-0.4683,"DUM","KHA",10.6794520547945,"AMG4",9.36164383561644,"AMG3","Between All-Male Groups",1.31780821917806,"Same Age Class"
"7","EAGKHA",-0.4634,"EAG","KHA",8.46301369863014,"AMG6",9.36164383561644,"AMG3","Between All-Male Groups",0.8986301369863,"Same Age Class"
"8","EAGKHA",-0.4634,"EAG","KHA",8.46301369863014,"AMG6",9.36164383561644,"AMG3","Between All-Male Groups",0.8986301369863,"Same Age Class"
"9","HOOONE",-0.4468,"HOO","ONE",9.25753424657534,"AMG7",9.25479452054794,"AMG3","Between All-Male Groups",0.00273972602740002,"Same Age Class"
"10","HOOONE",-0.4468,"HOO","ONE",9.25753424657534,"AMG7",9.25479452054794,"AMG3","Between All-Male Groups",0.00273972602740002,"Same Age Class"
"11","QUARAN",-0.436,"QUA","RAN",8.86849315068493,"AMG7",8.93150684931507,"AMG8","Between All-Male Groups",0.0630136986301402,"Same Age Class"
"12","QUARAN",-0.436,"QUA","RAN",8.86849315068493,"AMG7",8.93150684931507,"AMG8","Between All-Male Groups",0.0630136986301402,"Same Age Class"
"13","RANVOD",-0.4334,"RAN","VOD",8.93150684931507,"AMG8",7.86575342465753,"AMG2","Between All-Male Groups",1.06575342465754,"Same Age Class"
"14","RANVOD",-0.4334,"RAN","VOD",8.93150684931507,"AMG8",7.86575342465753,"AMG2","Between All-Male Groups",1.06575342465754,"Same Age Class"
"15","DGUTEQ",-0.4296,"DGU","TEQ",10.4630136986301,"AMG2",9.86575342465753,"AMG2","Within All-Male Group",0.597260273972569,"Same Age Class"
"16","DGUTEQ",-0.4296,"DGU","TEQ",10.4630136986301,"AMG2",9.86575342465753,"AMG2","Within All-Male Group",0.597260273972569,"Same Age Class"
"17","EDGHAS",-0.4246,"EDG","HAS",9.46301369863014,"AMG6",7.68219178082192,"AMG8","Between All-Male Groups",1.78082191780822,"Different Age Class"
"18","EDGHAS",-0.4246,"EDG","HAS",9.46301369863014,"AMG6",7.68219178082192,"AMG8","Between All-Male Groups",1.78082191780822,"Different Age Class"
"19","DIKQUA",-0.4225,"DIK","QUA",8.51780821917808,"AMG7",8.86849315068493,"AMG7","Within All-Male Group",0.35068493150685,"Same Age Class"
"20","DIKQUA",-0.4225,"DIK","QUA",8.51780821917808,"AMG7",8.86849315068493,"AMG7","Within All-Male Group",0.35068493150685,"Same Age Class"
"21","QUASMA",-0.4221,"QUA","SMA",8.86849315068493,"AMG7",7.75616438356164,"AMG4","Between All-Male Groups",1.11232876712329,"Same Age Class"
"22","QUASMA",-0.4221,"QUA","SMA",8.86849315068493,"AMG7",7.75616438356164,"AMG4","Between All-Male Groups",1.11232876712329,"Same Age Class"
